EMPLOYEE#,SURNAME,GENDER,FIRST_NAME,Person Clevel,Position Clevel,Clevel3 Description,Clevel4 Description2,Clevel6 Description3,TITLE,CATEGORY,CLASSIFICATION,STEP#,JOB#,COMMENCE_DATE,OCCUP_TERM_DATE,Person FTE,Position FTE,EMP_STATUS,POSITION#
00674790,,F,,1B13AB020,1B13AB020,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Animal Science,Casual General HEO4,GE,CAS4,01,04,19/Jun/2018 ,22/Dec/2018 ,0,0,CA,0000013319
00674790,,F,,1B14AC000,1B14AC000,Faculty of Medicine & Health,School of Psychology & Behavioural Science,School of Psychology & Behavioural Science,Casual General HEO4,GE,CAS4,01,05,30/Jun/2018 ,28/Sep/2018 ,0,0,CA,0000008419
00674790,,F,,1L02AB000,1L02AB000,"Research Centres, Institutes, CRCs",Animal Genetics & Breeding Unit,Animal Genetics & Breeding Unit,Casual General HEO 5,GE,CAS5,01,06,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000010217
00689992,,F,,1B12AB060,1B12AB000,Faculty of HASS & Education,School of Education,School of Education Office,Casual General HEO4,GE,CAS4,01,08,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008561
00689992,,F,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Casual General HEO3,GE,CAS3,01,07,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013088
00689992,,F,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Casual Language Instructor 1,GE,LTCC,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011583
00689992,,F,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Casual Language Instructor 2,GE,LTCC,02,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011585
00672022,,M,,1N01AC000,1N01AC000,Information Technology Services,IT - Client Services,IT - Client Services,Casual General HEO4,GE,CAS4,01,07,30/Jun/2018 ,04/Sep/2018 ,0,0,CA,0000008760
00672022,,M,,1N01AC000,1N01AC000,Information Technology Services,IT - Client Services,IT - Client Services,Client Services Officer,GE,HEO5A,01,12,22/May/2018 ,19/Nov/2018 ,1,1,TE,0000012197
00681882,,F,,1B10AA000,1B10AA000,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Casual Academic,AC,CA,01,04,07/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013433
00681882,,F,,1B13AE020,1B13AE020,Faculty of SABL,UNE Business School,UNE Business School - Management,Casual Academic,AC,CA,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013335
00681882,,F,,1N02AD000,1N02AD000,Human Resource Services,HRS - Recruitment,HRS - Recruitment,Recruitment Consultant,GE,HEO6A,04,01,03/May/2018 ,31/Dec/2049 ,1,1,PE,0000007176
00657398,,F,,1B12AB030,1B12AB030,Faculty of HASS & Education,School of Education,School of Education - Learning & Teaching,Director of Program Impact & Innovation,AC,ATC,05,08,27/Mar/2018 ,31/Dec/2018 ,0.6,1,TE,0000012742
00657398,,F,,1B12AB030,1B12AB030,Faculty of HASS & Education,School of Education,School of Education - Learning & Teaching,Senior Lecturer in School Pedagogy,AC,ATC,05,07,27/Mar/2018 ,31/Dec/2049 ,0.4,1,PE,0000009243
00676773,,F,,1B10AA000,1B10AA000,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala ITAS Tutor,AC,ITAS,01,04,30/Jun/2018 ,08/Mar/2019 ,0,0,CANL,0000006719
00676773,,F,,1B12AC150,1B12AC150,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - History,Casual Academic,AC,CA,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013303
00676773,,F,,1B12AC210,1B12AC210,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Sociology and Criminology,Casual Academic,AC,CA,01,05,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013299
00687165,,M,,1B13AB080,1B13AB080,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Zoology,Casual General HEO6,GE,CAS6,01,03,01/Jul/2018 ,31/Dec/2018 ,0,0,CA,0000013326
00687165,,M,,1B13AC000,1B13AC000,Faculty of SABL,School of Science & Technology,School of Science & Technology Office,Casual General HEO 4,GE,CAS4,01,04,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008627
00676453,,F,,1B12AA000,1B12AA000,Faculty of HASS & Education,Office of Faculty of HASS & Education,Office of Faculty of HASS & Education,"Research Officer, Music",GE,HEO6A,01,16,14/May/2018 ,13/May/2020 ,0.3,0.3,TE,0000014085
00676453,,F,,1B12AC000,1B12AC000,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences","School of Humanities, Arts & Social Sciences Offic",Casual General HEO6,GE,CAS6,01,15,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008429
00676453,,F,,1B12AC120,1B12AC120,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Music,Lecturer in Music,AC,ATB,02,12,26/Jun/2018 ,25/Jun/2019 ,0.5,0.5,TE,0000013841
00676453,,F,,1B13AE020,1B13AE020,Faculty of SABL,UNE Business School,UNE Business School - Management,Casual Academic,AC,CA,01,14,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013335
00024027,,M,,1B12AC000,1B12AC000,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences","School of Humanities, Arts & Social Sciences Offic",Casual Academic,AC,CA,01,06,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008435
00024027,,M,,1B13AA000,1B13AA000,Faculty of SABL,"Office of Faculty of Science, Ag, Business and Law","Office of Faculty of Science, Ag, Business and Law",Project Officer,GE,HEO6A,01,07,04/Jun/2018 ,05/Oct/2018 ,1,1,TE,0000014151
00663148,,F,,1B10AA000,1B10AA000,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala ITAS Tutor,AC,ITAS,01,21,30/Jun/2018 ,08/Mar/2019 ,0,0,CANL,0000006719
00663148,,F,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Casual Academic,AC,CA,01,20,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011477
00104427,,M,,1B13AC040,1B13AC040,Faculty of SABL,School of Science & Technology,School of S&T - Mathematics,Casual Academic,AC,CA,01,16,21/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013332
00104427,,M,,1B13AC050,1B13AC050,Faculty of SABL,School of Science & Technology,School of S&T - Statistics,Casual Academic,AC,CA,01,17,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013333
00024422,,F,,1B13AB000,1B13AB000,Faculty of SABL,School of Environmental & Rural Science,School of Environmental & Rural Science Office,Professorial Research Fellow,AC,ATE,01,04,01/Apr/2018 ,31/Mar/2021 ,0.3,0.3,TE,0000014157
00024422,,F,,1B13AE000,1B13AE000,Faculty of SABL,UNE Business School,UNE Business School Office,Professorial Research Fellow,AC,ATE,01,03,01/Jan/2018 ,31/Dec/2021 ,0.5,0.5,TE,0000013369
00691378,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Casual General HEO 3,GE,CAS3,01,02,15/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008744
00691378,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Casual General HEO4,GE,CAS4,01,01,15/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008744
00691378,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Customer Service Officer,GE,HEO4A,01,03,04/Jun/2018 ,23/Nov/2018 ,0.6,1,TE,0000013914
00679271,,F,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Casual Academic,AC,CA,01,04,30/Jun/2018 ,31/Aug/2018 ,0,0,CA,0000013329
00679271,,F,,1B13AC070,1B13AC070,Faculty of SABL,School of Science & Technology,School of S&T - Exercise & Sports Science,Casual Academic,AC,CA,01,06,30/Jun/2018 ,13/Jul/2018 ,0,0,CA,0000013504
00687414,,F,,1B12AD000,1B12AD000,Faculty of HASS & Education,SiMERR,SiMERR,Casual General HEO4,GE,CAS4,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000010245
00687414,,F,,1K08AD000,1K08AD000,Student Success,Counselling & Careers,Counselling & Careers,Casual General HEO 5,GE,CAS5,01,04,07/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008781
00689727,,F,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Casual Language Instructor 1,GE,LTCC,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011583
00689727,,F,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Casual Language Instructor 2,GE,LTCC,02,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011585
00672333,,F,,1B13AE020,1B13AE020,Faculty of SABL,UNE Business School,UNE Business School - Management,Casual Academic,AC,CA,01,06,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013335
00672333,,F,,1N02AI000,1N02AI000,Human Resource Services,HRS - Workforce Strategy and Development,HRS - Workforce Strategy and Development,Learning and Development Officer,GE,HEO5A,04,05,05/Jun/2018 ,31/Dec/2049 ,1,1,PE,0000012555
00675557,,F,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Casual Academic,AC,CA,01,06,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011477
00675557,,F,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Lecturer in Rural Medicine,AC,ATB,01,03,01/Jan/2018 ,31/Dec/2049 ,0.2,0.2,PE,0000013847
00686972,,M,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Casual General HEO 1,GE,CAS1,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013696
00686972,,M,,1K01AA000,1K01AA000,Teaching and Learning,Teaching and Learning,Teaching and Learning,Casual General HEO5,GE,CAS5,01,03,25/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008663
00671259,,M,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Casual General HEO5,GE,CAS5,01,04,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013796
00671259,,M,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Technical Officer,GE,HEO4A,04,01,01/Jan/2018 ,31/Dec/2049 ,0.8,0.8,PE,0000008156
00667541,,F,,1B14AB000,1B14AB000,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine Office,Casual General HEO5,GE,CAS5,01,25,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011169
00667541,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Lecturer in Psychology,AC,ATB,04,26,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000013889
00657882,,F,,1B10AA000,1B10AA000,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Casual Academic,AC,CA,01,09,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000012495
00657882,,F,,1B12AB020,1B12AB020,Faculty of HASS & Education,School of Education,School of Education - Humanities Education,Casual Academic,AC,CA,01,12,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013339
00657882,,F,,1B12AC140,1B12AC140,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Classics & Ancient History,Casual Academic,AC,CA,01,20,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013302
00657882,,F,,1B14AD000,1B14AD000,Faculty of Medicine & Health,School of Health,School of Health Office,Casual General HEO1,GE,CAS1,01,15,01/Jul/2018 ,21/Dec/2018 ,0,0,CA,0000008536
00689168,,F,,1B13AC000,1B13AC000,Faculty of SABL,School of Science & Technology,School of Science & Technology Office,Casual Academic,AC,CA,01,04,01/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008635
00689168,,F,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Casual Academic,AC,CA,01,03,30/Jun/2018 ,20/Dec/2018 ,0,0,CA,0000013329
00685009,,F,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Casual Academic,AC,CA,01,02,30/Jun/2018 ,20/Dec/2018 ,0,0,CA,0000013329
00685009,,F,,1L02AB000,1L02AB000,"Research Centres, Institutes, CRCs",Animal Genetics & Breeding Unit,Animal Genetics & Breeding Unit,Junior Research Fellow,AC,ARA,01,01,17/Mar/2018 ,30/Dec/2021 ,1,1,TE,0000013166
00670451,,M,,1B12AC010,1B12AC010,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - English,Casual Academic,AC,CA,01,17,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013993
00670451,,M,,1B12AC200,1B12AC200,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Linguistics,Casual Academic,AC,CA,01,14,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013298
00670451,,M,,1B13AC010,1B13AC010,Faculty of SABL,School of Science & Technology,School of S&T - Chemistry,Casual Academic,AC,CA,01,18,30/Jun/2018 ,20/Dec/2018 ,0,0,CA,0000013327
00690320,,M,,1B14AB000,1B14AB000,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine Office,Casual General HEO1,GE,CAS1,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011169
00690320,,M,,1B14AB000,1B14AB000,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine Office,Casual General HEO4,GE,CAS4,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011169
00671840,,F,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Casual Language Instructor 1,GE,LTCC,01,07,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011583
00671840,,F,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Casual Language Instructor 2,GE,LTCC,02,08,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011585
00676100,,M,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Casual General HEO 1,GE,CAS1,01,03,30/Jun/2018 ,21/Dec/2018 ,0,0,CA,0000013696
00676100,,M,,1B14AD050,1B14AD050,Faculty of Medicine & Health,School of Health,School of Health - Social Work,Casual Academic,AC,CA,01,02,01/Jul/2018 ,21/Dec/2018 ,0,0,CA,0000013347
00677446,,F,,1B13AD010,1B13AD010,Faculty of SABL,School of Law,Law,Associate Professor in Law,AC,ATD,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009386
00677446,,F,,1B13AE000,1B13AE000,Faculty of SABL,UNE Business School,UNE Business School Office,Head of School,AC,ATE,01,02,12/Feb/2018 ,11/Feb/2020 ,0.5,1,PE,0000014055
00666656,,F,,1B12AC210,1B12AC210,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Sociology and Criminology,Casual Academic,AC,CA,01,21,11/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013299
00666656,,F,,1B13AD010,1B13AD010,Faculty of SABL,School of Law,Law,Casual Academic,AC,CA,01,16,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008896
00666656,,F,,1B13AD010,1B13AD010,Faculty of SABL,School of Law,Law,Lecturer in Law,AC,ATB,03,20,01/Jan/2018 ,30/Aug/2018 ,0.5,1,TE,0000011312
00657413,,F,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Casual Academic,AC,CA,01,21,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013328
00657413,,F,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Casual Academic,AC,CA,01,22,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011477
00657413,,F,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Lecturer in Rural Medicine,AC,ATB,01,17,02/Jul/2018 ,31/Dec/2049 ,0.4,0.2,PE,0000012150
00690354,,M,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Casual General HEO4,GE,CAS4,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008744
00690354,,M,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Customer Service Officer,GE,HEO4A,01,02,19/Feb/2018 ,31/Aug/2018 ,1,1,TE,0000010412
00690113,,M,,1B13AE000,1B13AE000,Faculty of SABL,UNE Business School,UNE Business School Office,Casual Student Rate 1,GE,HEOS1,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000009337
00690113,,M,,1K01AB000,1K01AB000,Teaching and Learning,Learning Support,Learning Support,Casual Student Rate 1,GE,HEOS1,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013364
00665901,,F,,1B14AA000,1B14AA000,Faculty of Medicine & Health,Office of Faculty of Medicine and Health,Office of Faculty of Medicine and Health,Clinical Laboratory Senior Technical Officer,GE,HEO6A,05,06,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000010948
00665901,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Casual Academic,AC,CA,01,07,30/Jun/2018 ,28/Sep/2018 ,0,0,CA,0000013391
00690364,,F,,1N02AE000,1N02AE000,Human Resource Services,HRS - Services and Support,HRS - Services and Support,Casual General HEO 3,GE,CAS3,01,02,30/Jun/2018 ,31/Oct/2018 ,0,0,CA,0000013712
00690364,,F,,1N02AI000,1N02AI000,Human Resource Services,HRS - Workforce Strategy and Development,HRS - Workforce Strategy and Development,Casual General HEO 5,GE,CAS5,01,03,02/Jul/2018 ,03/Aug/2018 ,0,0,CA,0000013818
00662835,,F,,1B14AC000,1B14AC000,Faculty of Medicine & Health,School of Psychology & Behavioural Science,School of Psychology & Behavioural Science,Head of School,AC,ATE,01,06,18/Jun/2018 ,29/Feb/2020 ,0.5,1,TE,0000014078
00662835,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Director of the Clinical Psychology Program,AC,ATD,01,04,23/Mar/2018 ,31/Dec/2049 ,1,1,PE,0000011872
00685980,,M,,1B10AA000,1B10AA000,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala Aboriginal Centre,Oorala ITAS Tutor,AC,ITAS,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CANL,0000006719
00685980,,M,,1M02AA000,1M02AA000,UNE International,UNE International,UNE International,Casual Student Rate 1,GE,HEOS1,01,07,30/Jun/2018 ,31/Oct/2018 ,0,0,CA,0000008795
00672229,,F,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Casual Academic,AC,CA,01,04,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013329
00672229,,F,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Senior Lecturer in Rural Medicine,AC,ATC,01,01,01/Jan/2018 ,31/Dec/2049 ,0.2,0.2,PE,0000013842
00024809,,M,,1B13AB070,1B13AB070,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Environmental Engineering,Lecturer in Environmental Science,AC,ATB,05,69,05/Feb/2018 ,04/Feb/2019 ,0.5,1,TE,0000008211
00024809,,M,,1B13AC020,1B13AC020,Faculty of SABL,School of Science & Technology,School of S&T - Physics & Electronics,Casual Academic,AC,CA,01,65,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013330
00024809,,M,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Casual Academic,AC,CA,01,57,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011477
00678898,,M,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Casual Academic,AC,CA,01,05,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013328
00678898,,M,,1B13AC070,1B13AC070,Faculty of SABL,School of Science & Technology,School of S&T - Exercise & Sports Science,Casual Academic,AC,CA,01,04,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013504
00678898,,M,,1B13AC070,1B13AC070,Faculty of SABL,School of Science & Technology,School of S&T - Exercise & Sports Science,Lecturer in Exercise and Sports Science,AC,ATB,06,06,01/Jan/2018 ,16/Jul/2018 ,0.2,1,TE,0000012454
00691541,,F,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Casual General HEO 5,GE,CAS5,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013088
00691541,,F,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Casual Language Instructor 1,GE,LTCC,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011583
00691541,,F,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Casual Language Instructor 2,GE,LTCC,02,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011585
00676812,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual Academic,AC,CA,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000012376
00676812,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual Academic,AC,CA,01,04,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000012376
00685641,,F,,1B13AB080,1B13AB080,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Zoology,Casual Academic,AC,CA,01,01,01/Jan/2018 ,08/Mar/2019 ,0,0,CA,0000013316
00685641,,F,,1B13AB080,1B13AB080,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Zoology,Casual Academic,AC,CA,01,07,02/Jul/2018 ,08/Mar/2019 ,0,0,CA,0000013316
00685641,,F,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Casual Academic,AC,CA,01,05,30/Jun/2018 ,20/Dec/2018 ,0,0,CA,0000013329
00685641,,F,,1K03AA000,1K03AA000,University Library,University Library,University Library,Casual Student Rate 2,GE,HEOS2,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008839
00685240,,M,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Casual Academic,AC,CA,01,04,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013329
00685240,,M,,1B14AB010,1B14AB010,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Medicine,Casual Academic,AC,CA,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011477
00685240,,M,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual Academic,AC,CA,01,07,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000012376
00691045,,M,,1B00AA000,1B00AA000,Deputy Vice-Chancellor's Office,Office of Provost and Deputy Vice-Chancellor,Deputy Vice-Chancellor's Office,Principal Advisor to the Provost and DVC,EXEC,369,,02,30/Jun/2018 ,31/Dec/2018 ,0.5,1,TE,0000014174
00691045,,M,,1B12AA000,1B12AA000,Faculty of HASS & Education,Office of Faculty of HASS & Education,Office of Faculty of HASS & Education,"Deputy Dean, Faculty of HASS&E",EXECA,369,,01,30/Jun/2018 ,31/Dec/2018 ,0.5,1,TE,0000014173
00023198,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Casual General HEO1,GE,CAS1,01,23,30/Jun/2018 ,21/Dec/2018 ,0,0,CA,0000013696
00023198,,F,,1M02AA000,1M02AA000,UNE International,UNE International,UNE International,Casual Student Rate 1,GE,HEOS1,01,22,30/Jun/2018 ,31/Oct/2018 ,0,0,CA,0000008795
00691880,,F,,1B14AB000,1B14AB000,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine Office,Casual General HEO4,GE,CAS4,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011169
